trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow
0,1,0.316859983341945,0.4894194320598778,0.2876408225801251,0.6734124456392427,2,1,1.4421922806513976,2,2,1,2,0.8494763573526143,1,1,0
1,1,0.3417394969329061,0.5154051831680697,0.2532106529177851,0.7262058578190154,2,1,0.7641057151531641,2,2,1,2,0.618909054966025,1,0,0
2,1,0.34944992120106916,0.5482000647697447,0.2972903365329025,0.7125533162474116,1,2,0.9089895729521231,2,2,1,2,0.7011962732512984,2,1,0
3,1,0.3797730835068637,0.5392656349087428,0.2912438287439121,0.6745968123585124,2,1,0.9707466484496763,2,2,2,1,1.0030412347678066,2,0,0
4,0,0.38387126163964264,0.531433024323261,0.2971152337250391,0.6778241069061917,2,1,0.6835648261858296,1,2,2,1,0.48486991729987494,2,0,0
5,1,0.42581500357780744,0.5510489633174565,0.27811523362556567,0.6901024930543489,2,1,0.7222766830527689,1,1,1,2,1.2020073595949725,2,0,0
6,1,0.4633134381511707,0.5586004032349967,0.25791773491145564,0.7051819227568714,2,1,0.7562540136195821,2,2,2,1,1.0772429031067077,1,0,0
7,1,0.48069524760248267,0.5931404117176255,0.2715468457559391,0.6909609685756553,2,1,0.8132446196032106,1,1,2,1,1.0135794808866194,1,0,0
8,1,0.5099306764183266,0.6628424844504668,0.30950093466425704,0.7446700512715205,1,2,0.8911287977389293,1,1,2,1,0.9190257682266747,2,1,0
9,1,0.5131625541068853,0.6438351537690141,0.3273757178189325,0.7109858753086251,1,2,0.679371526363866,1,1,2,1,0.7272396334492441,2,0,0
10,1,0.5090582431815336,0.6197543571201023,0.3221546005733018,0.7010900663448596,1,2,0.9520707186529762,1,1,1,2,1.3209283179285194,2,1,0
11,1,0.5365595793949366,0.5996576445487312,0.3637314004185588,0.6890085285767351,2,1,0.7671490593784256,1,1,1,2,0.8048589240142974,2,0,0
