trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow
0,0,0.7199260852678261,0.4489098775564401,0.381111295115532,0.6386735726178885,2,1,1.8795988053234396,1,2,1,2,1.8195103105754242,2,1,0
1,1,0.7379608077446902,0.4609525015116693,0.3565335650398942,0.6407170569058239,1,2,1.1601698896665766,1,1,1,2,,,0,1
2,1,0.704656694827813,0.48226392997000816,0.38106281412152315,0.6907407195804189,2,1,0.8188407085490326,1,1,2,1,1.220320764081407,2,1,0
3,0,0.680232492989455,0.5047290129230511,0.35648478669224115,0.7269598161502847,1,2,0.8090244995391913,1,2,2,1,1.2227463386598174,2,0,0
4,0,0.6751217369379476,0.5035406393069359,0.3813082942767696,0.7235857821879006,2,1,0.8281340734911282,1,2,2,1,0.9519917646784961,2,1,0
5,1,0.6702503931626327,0.5287949368186408,0.39464568739633765,0.7302924070890245,1,2,0.7390182404778898,1,1,1,2,1.2069971302335034,1,1,0
6,0,0.6435737083766284,0.565649367775595,0.4249004452495592,0.7161661506535925,1,2,0.7545782004463035,1,2,1,2,0.9851174771856677,2,1,0
7,0,0.6673594342649538,0.6010024510376122,0.4369193021557913,0.7265927223437458,1,2,0.7382907790497484,1,2,1,2,1.0110882117796791,2,1,0
8,1,0.6739209597823395,0.6403493918384561,0.49283815715353824,0.7351485301385016,1,2,0.9617687980526171,1,1,1,2,0.8922187844764267,1,0,0
9,0,0.6945520306420585,0.6433544217335097,0.49794308972341167,0.7341530389589639,2,1,0.977354372859736,2,1,1,2,1.2898701749554675,2,0,0
10,1,0.6510164874454427,0.6113558985156342,0.5073784453650926,0.6960910334472235,1,2,0.8025273709627072,2,2,1,2,1.3004246940308803,2,1,0
11,1,0.7112270257569496,0.5594214486886808,0.503940580827011,0.7165406586108706,2,1,0.955237315456543,2,2,1,2,0.8974957426635228,2,1,0
12,1,0.7377053312668761,0.5790102732510001,0.4972022240869398,0.7178993927010701,2,1,1.0211319408308555,2,2,1,2,0.730140739979106,2,1,0
13,1,0.719499085408287,0.5430383884680361,0.43483242117815046,0.7261815739314641,2,1,0.7077009356044073,1,1,1,2,1.3832718225612552,1,0,0
14,1,0.7045768881187766,0.5277638641255551,0.4369074936466091,0.7363865233087884,2,1,0.9467708577867597,2,2,1,2,0.8142897050347528,2,1,0
15,1,0.6853886458311913,0.5175908111143492,0.48497807474032106,0.7008901392847795,1,2,0.991770102902592,2,2,1,2,0.7490948167915121,2,1,0
16,0,0.7328309575850411,0.4974512645099147,0.4769644766932333,0.6568125965901519,2,1,0.8726758677175894,2,1,2,1,1.424930892671,1,1,0
17,1,0.7240995822701537,0.509377431863259,0.4365393714609098,0.6502236038947196,1,2,1.0710332634298538,2,2,1,2,1.0779613240038088,2,1,0
18,1,0.6674679816508102,0.5090049244398589,0.42630319956037055,0.6919773614251193,1,2,0.7975273543879666,2,2,1,2,0.7163792430610556,2,1,0
19,1,0.6307182358694532,0.5629109922006635,0.4075765788038157,0.7010035199481292,2,1,0.7984434615709688,2,2,2,1,0.9041869413140375,2,1,0
20,1,0.6353963652054216,0.5495331185855878,0.41885003383907615,0.6579673293481951,2,1,0.8450043078128147,2,2,2,1,0.826197591662094,2,0,0
21,0,0.6005935378331273,0.5603243884869595,0.41920240102891654,0.632357244180145,1,2,1.0737192053129547,2,1,1,2,1.1027971705543678,1,0,0
22,1,0.5690617240064499,0.5349603275834627,0.4135856671265219,0.6314508022268941,2,1,0.6610572178242364,2,2,2,1,0.7471071052850675,2,1,0
23,1,0.5506622408018376,0.5401961555119225,0.4221296810150525,0.6074496897024066,2,1,0.8099589891362484,2,2,2,1,0.6527824194208733,2,1,0
24,1,0.5941589438610848,0.5602511453532003,0.4617883869972172,0.5857343625066922,1,2,0.7060911183107237,2,2,2,1,0.6548563173282673,2,1,0
25,1,0.6360628389729728,0.5451314507171459,0.46477355465045506,0.5774069211581834,1,2,0.7169647681457718,2,2,1,2,1.1760797182005263,2,1,0
26,0,0.6535707488312381,0.5669800618783969,0.46534586289496854,0.5882442380708488,1,2,0.7287620589386279,2,1,1,2,1.3332590000745768,1,0,0
27,1,0.6342083510984691,0.5558731634723308,0.4415842544899018,0.6066390483558034,2,1,0.7866772099350783,2,2,2,1,0.7903452548816858,2,1,0
28,0,0.6233846844710633,0.5604590212007661,0.4413708104253926,0.6277939721562386,2,1,1.0378777171690672,2,1,2,1,1.0333035096246022,2,0,0
29,1,0.6351703165191224,0.5459661415935131,0.42685415193645104,0.6046888061179898,1,2,0.7262668722687522,2,2,1,2,1.0763026878403252,2,1,0
30,1,0.6570428503523578,0.534695602339804,0.44220103380603515,0.6064658592136134,1,2,0.6724546157784062,2,2,2,1,0.6981607641537266,2,1,0
31,0,0.6872331977512491,0.5042784347218414,0.4561876473089888,0.615072652285666,2,1,0.9182835405972583,2,1,1,2,1.6503176692058332,2,0,0
32,1,0.6681403813773783,0.5406138200879177,0.45122783938597255,0.5883009403719117,1,2,0.7156656437809943,2,2,2,1,0.9070759938031188,2,1,0
33,1,0.7060593742274848,0.5583746073448123,0.4694866648796061,0.5907121313339445,2,1,0.725697921491701,2,2,1,2,0.9512076492537744,2,1,0
34,1,0.6758325554952349,0.550907203298806,0.46705491817271505,0.5993948294560911,1,2,0.7799745599440939,2,2,1,2,0.7665930666962595,2,1,0
35,1,0.6555236505012043,0.5831644993361746,0.4755855596561829,0.5942801770648858,2,1,1.4376174704048026,2,2,2,1,0.81755815849192,2,1,0
36,1,0.6734992427729644,0.5494431238162625,0.47761898930121904,0.5988016725708843,2,1,0.7752563065996583,2,2,2,1,0.739965386818767,2,0,0
37,0,0.699257258993441,0.5594447633896515,0.46679435812879944,0.6015686569016143,2,1,1.01862952173542,2,1,1,2,1.0986454571784634,1,1,0
38,1,0.6537161628021853,0.5527954419660603,0.45995316256682806,0.6174628188921057,1,2,1.0746636394951565,2,2,1,2,0.7270163323228189,2,1,0
39,1,0.6731087872055197,0.5546203914127138,0.4372648923901372,0.6041769370643433,1,2,0.7247308859814439,2,2,2,1,1.0762897297454401,2,1,0
40,1,0.6728998348262505,0.554930113424072,0.44978566952933297,0.5970258682453329,2,1,0.749607414923048,2,2,1,2,1.1490605833132577,2,1,0
41,0,0.6528173003733659,0.5589153607509207,0.4408638395806519,0.6113852378700189,2,1,0.8039569803304403,2,1,1,2,1.3836081303306855,1,1,0
42,1,0.6002197874024511,0.5649577944815642,0.4411199080533187,0.5910395380824287,1,2,1.2651937431082843,2,2,1,2,1.2062775039339613,2,0,0
43,1,0.5967272250017317,0.535554942796034,0.4416143222681297,0.61092859842349,2,1,1.3300107371378544,2,2,1,2,0.9891438285267213,2,1,0
44,1,0.5872855344157912,0.5252407135958022,0.4770596369910699,0.6283468246961391,2,1,1.1391822959876663,2,2,2,1,1.169042267196346,2,1,0
45,1,0.5951595935684376,0.5255672242218177,0.4484517317976917,0.6274945459434735,2,1,0.7209456154778309,2,2,1,2,0.8528644471762163,2,1,0
46,1,0.6064152611044178,0.4942848465994516,0.4230815056216386,0.6311020382382105,1,2,0.9058332220838565,2,2,1,2,1.187970729170047,2,1,0
47,1,0.644597460167472,0.49581326502178613,0.43400644440110947,0.6264736732941905,1,2,0.8592967852773654,2,2,1,2,1.0859483321573862,2,0,0
48,1,0.6247890892209158,0.46927883450182173,0.4242707427330519,0.5841945473397296,2,1,,,,,,,,0,1
49,1,0.6871406036079498,0.4591523875353918,0.4637710052210034,0.6153901522696329,2,1,1.4636650495167487,2,2,1,2,0.7236984572937217,2,1,0
50,1,0.6903359154362869,0.4826405421753604,0.4857166825323138,0.6671831773225001,2,1,1.741001733070334,1,1,1,2,0.9429663008168063,1,1,0
51,0,0.6616643958677295,0.477579476820428,0.48259659088443474,0.673977075580684,2,1,0.9556341947854889,1,2,1,2,0.8481199762891265,2,1,0
52,1,0.6889941757918028,0.5638054119350289,0.46308249820528635,0.6317168833431732,2,1,0.7458182268564997,1,1,2,1,0.9029803317207552,1,1,0
53,1,0.736947102336454,0.5940080654002968,0.4667187222599948,0.5850370604613255,1,2,1.226015093468959,1,1,2,1,0.7993779511689354,1,1,0
54,1,0.7350751713703341,0.5816678798780597,0.45210840952247033,0.5291076762460354,2,1,0.7321260406779402,1,1,2,1,0.7911016460102474,1,1,0
55,1,0.7227553301251131,0.593769310262658,0.4690236026231679,0.5494711959586456,1,2,0.7269117635096336,1,1,1,2,1.1834808999192319,1,0,0
56,1,0.721843493496571,0.6169764018332963,0.4553181222031255,0.5433741706578017,2,1,0.7556793371722961,1,1,1,2,0.6308925807070409,1,1,0
57,1,0.7121849239350184,0.582807151508612,0.4533570357035075,0.5461074200343597,2,1,1.540835628372406,1,1,1,2,0.6557329475235747,1,1,0
58,1,0.7255496953679392,0.5801042405532213,0.4670232001372442,0.51043247043113,1,2,0.6695164430693694,1,1,1,2,1.2238619402369295,1,1,0
59,0,0.7496979790605247,0.5964956880876134,0.4076985166753655,0.5113175484367236,1,2,0.6858695589944546,1,2,1,2,0.7766006336205464,2,0,0
60,1,0.7385924435119718,0.5895195702352449,0.3809179108329841,0.48378401380367375,2,1,0.7531130316547205,1,1,1,2,0.992248648365603,1,1,0
61,1,0.7435204801491713,0.5910813084512697,0.37899185375814026,0.4813543752197196,1,2,0.7333739353643978,1,1,1,2,1.194401259164806,1,1,0
62,1,0.742864636530562,0.6096448145421981,0.3708163178268844,0.5270337688404245,1,2,1.1274181538092307,1,1,1,2,0.6974170297698947,1,1,0
63,1,0.7486441518998619,0.6239657713233632,0.3446634297044233,0.5570840882958098,2,1,1.306028618104392,2,2,1,2,0.838640979101001,1,0,0
64,1,0.7310919105643509,0.5920526102742785,0.352665160113382,0.566584817346333,2,1,0.6841786782679264,1,1,2,1,,,0,1
65,1,0.6893907950903662,0.5886457331152906,0.3701730768491098,0.5268151017257887,1,2,0.7161658865188656,1,1,1,2,0.8252212142706412,1,1,0
66,0,0.665753447025627,0.5860973179456308,0.3738100844133123,0.5201493661957213,1,2,0.6979962264822461,1,2,1,2,1.371263887385794,2,1,0
67,1,0.6803692086858996,0.5971645541499611,0.3378215352342506,0.5135018242683409,1,2,0.6666774148543482,1,1,1,2,0.7247558981180191,1,0,0
68,1,0.6695428853249232,0.605639055158683,0.3577044331363591,0.510114248825184,2,1,0.8218590406368094,1,1,2,1,,,0,1
69,1,0.6643934611047309,0.6165705693921194,0.35278838848725,0.4473679134965518,2,1,0.6826267203750831,1,1,2,1,0.8430605935591302,1,0,0
