trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow
0,1,0.45680948763501517,0.435677007659844,0.3166270289814488,0.6518122821372478,1,2,1.2419524907727464,2,2,2,1,1.5960359656673972,2,1,0
1,1,0.4570140704648438,0.45980284518940695,0.33542767767948434,0.5902740285371093,2,1,1.0529844770971977,1,1,2,1,1.5653035646537319,1,1,0
2,1,0.4326969026282519,0.4842581825445633,0.3694588277309872,0.5663440186943838,2,1,1.2299707659185515,1,1,1,2,1.8100296921365953,1,0,0
3,1,0.4417296332451864,0.5133694992385502,0.3785162901575292,0.5543933598900161,1,2,1.2075478236874915,1,1,2,1,1.2612573518399586,2,0,0
4,1,0.4565860819245738,0.5710265350661078,0.38206431278904585,0.5565358383169088,2,1,1.1941786777733796,1,1,1,2,1.6167348775179562,2,1,0
5,0,0.44613042730657004,0.5413135295460654,0.389081824845914,0.6037606825322651,2,1,1.3070711764485168,1,2,2,1,,,0,1
6,1,0.4607948994313881,0.5168227213927992,0.418384532448081,0.621580296692367,2,1,0.9651493330948142,1,1,1,2,0.8328576504191005,1,1,0
7,1,0.4728245037700675,0.5333737300406312,0.4534377212818596,0.6314528973122546,2,1,0.712807457357485,1,1,2,1,0.6717402159538324,1,0,0
8,1,0.436191917636382,0.5023923425053116,0.4701221078100467,0.6707267175608891,2,1,0.8436167933396064,2,2,2,1,1.416097338857071,1,0,0
9,1,0.43802362008626966,0.5011575674320108,0.48372359862652553,0.6775399757013486,1,2,1.6160755210294155,1,1,1,2,1.202175635331514,2,1,0
10,0,0.44112871966594214,0.4941504618361612,0.4902349659477631,0.6907029668726007,2,1,1.0843644819015026,1,2,1,2,1.6230674722391996,2,1,0
11,1,0.46832076014684887,0.47824843251076965,0.509296659375805,0.7244179808478743,2,1,1.007732672531347,2,2,1,2,0.975894915211029,2,0,0
12,1,0.4824303951718654,0.5185398031363135,0.5354151883164056,0.6832874415271895,2,1,1.115594112441613,1,1,2,1,1.2103036806729506,2,0,0
13,1,0.48441285446411403,0.5171592992317056,0.5508645115560142,0.6751904320679152,2,1,1.4717882513396034,1,1,2,1,1.4402482290333865,1,1,0
14,1,0.47601062710706876,0.5515585607133306,0.5627622191167042,0.6760544933766097,2,1,0.6691365413371386,1,1,2,1,0.8664248624409083,1,1,0
15,0,0.4959058432116145,0.5525724645405856,0.5321964273875499,0.6683969769433646,2,1,0.6336518314474233,1,2,1,2,1.424669274560074,1,1,0
16,0,0.47215073003425156,0.5349324777708429,0.5237049031202954,0.6523863232070761,1,2,0.9091826842377486,2,1,1,2,1.4225254619195766,1,1,0
17,1,0.47493313848742347,0.5408389313237466,0.48004793230456677,0.6400405195796219,2,1,0.7193443682135694,1,1,2,1,1.1375876291695022,1,1,0
18,0,0.4653551295391094,0.6036878370306531,0.471849396101895,0.675030725741966,2,1,1.2925216377716424,1,2,2,1,1.150236846999178,2,1,0
19,1,0.45005771911219083,0.640808970569817,0.4901173596826573,0.6730137526301139,2,1,0.7684013347443397,2,2,2,1,1.257158071073718,2,1,0
20,1,0.4148067475519561,0.5839358465463445,0.513719963644591,0.6920855295714622,2,1,0.9821705545491568,2,2,1,2,1.0507110834278137,2,1,0
21,1,0.3794218874338038,0.6165885043283352,0.5372086340860851,0.6659929839511249,2,1,0.8922386086978804,2,2,2,1,0.8298673421741114,2,1,0
22,0,0.370713171494919,0.6785767117894642,0.522109310318948,0.6482408843767662,2,1,0.6465005437876243,2,1,2,1,1.4241135828942788,1,0,0
23,1,0.396058628107488,0.6798527359642818,0.5254206706630161,0.6447786610061879,1,2,1.0333080499658536,1,1,1,2,1.0604606997312658,2,0,0
24,1,0.3844433748163536,0.6853611995032334,0.5175734299131376,0.6495130320267426,2,1,0.7916074888198636,2,2,2,1,1.1835569510112691,1,0,0
25,1,0.37250760102117786,0.6297902162167057,0.5084534818363855,0.6135323759704532,1,2,,,,,,,,0,1
26,1,0.33600332049428494,0.6282723134121437,0.4758863008766563,0.6087539183232602,1,2,0.6563034992595931,1,1,1,2,0.8412086956705025,1,1,0
27,0,0.36900575049702466,0.6279531201525463,0.48487471656734854,0.6322104505685022,2,1,0.6481200052912754,1,2,2,1,1.4956263389412925,2,1,0
28,0,0.3458575474969403,0.6241377341212897,0.4571012417887048,0.6477798187729477,2,1,0.5928838318122871,2,1,1,2,1.2824128108022705,1,1,0
29,1,0.3523341689807915,0.6560214801733861,0.4417316089249348,0.6409428950720946,2,1,1.0426541569740948,1,1,2,1,0.7190707412955817,1,0,0
30,0,0.35328154175260557,0.6373391101478785,0.4794272845920824,0.6323458223728067,2,1,0.9021961573489534,2,1,2,1,0.9060820814447652,1,0,0
31,1,0.3550540049754339,0.6316810389950938,0.46763278597564994,0.6584489118842235,1,2,1.1172584752766852,2,2,1,2,1.173693423943405,2,0,0
32,1,0.31963838137409484,0.6342277755195543,0.4900821918308886,0.6243864971352893,1,2,1.1399303336238518,2,2,1,2,0.981927062757677,1,1,0
33,1,0.3042326893868528,0.6896484038476189,0.43014151365715336,0.6107464325805576,2,1,1.0759769731503184,2,2,1,2,0.6090666941508971,1,1,0
34,0,0.3114151835312404,0.7034994121603256,0.41211142753011076,0.6126183624226909,1,2,0.6807946149747295,2,1,1,2,0.8721176885046589,1,1,0
35,1,0.3282256233558952,0.7072286978124318,0.4229630466782837,0.6446144987039555,2,1,1.037850919739867,1,1,2,1,0.8588085114843125,1,0,0
36,1,0.32797863985714426,0.7483379505966239,0.4191256461119217,0.6787295427038296,1,2,0.8195364193506975,2,2,2,1,1.1399565511801484,1,1,0
37,0,0.3043526402619614,0.7263403815626077,0.4321306984163659,0.7044561219574579,2,1,0.8000522543024999,2,1,2,1,1.3168819670518133,2,1,0
38,1,0.34043298225675084,0.7330966361590678,0.4219527034416737,0.7083274511287476,1,2,1.1576747980270738,1,1,1,2,0.8980803022677719,2,1,0
