trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow
0,1,0.25484895642508903,0.4879435894092589,0.41686792706696973,0.27444938919704476,1,2,0.7434038181672804,1,1,2,1,1.0024240619786724,2,1,0
1,0,0.2813381259251696,0.49952683771519274,0.4327564197314232,0.2647654847369125,1,2,0.584689535338839,1,2,1,2,1.5547597228396626,1,0,0
2,1,0.2704937154552285,0.4903352531506382,0.4272191088610735,0.2619374721149399,2,1,0.888394607398368,1,1,1,2,1.050893548905151,2,0,0
3,1,0.25202261761195244,0.5395415113731564,0.41763127946514134,0.27176106520913446,1,2,0.8624191138078459,1,1,1,2,0.9929490051981702,1,0,0
4,0,0.26756206550380923,0.5171264925656405,0.41176086944045576,0.2957968347879605,2,1,0.6182457975955913,2,1,2,1,1.2264985172041634,2,1,0
5,1,0.2695692869605793,0.5383798702344892,0.45528742990238047,0.28046529974565937,1,2,0.7606458781156107,1,1,2,1,0.8021987724787323,2,1,0
6,1,0.26594932049524744,0.5077555812288805,0.4735801694509847,0.2631295247810379,1,2,0.7107332245068392,1,1,2,1,0.7104632146183576,2,1,0
7,1,0.28301311429982867,0.5330380172294593,0.478463437485758,0.26923082131425663,2,1,0.6453130833942851,1,1,1,2,0.9104760521440767,2,0,0
8,1,0.25498732562502724,0.5025096145997465,0.48178717757113326,0.2578494579434374,2,1,0.6677492174712825,1,1,1,2,0.770938498317264,2,1,0
9,0,0.2579539957268633,0.4767063571034349,0.45967970323215224,0.2824726644713212,1,2,1.3378754862678761,1,2,2,1,1.4841638899779355,1,0,0
10,1,0.28073415899997867,0.5411318810996162,0.4855833169017721,0.2929326859727209,2,1,1.1657917964585067,1,1,2,1,1.1646517881963518,2,1,0
11,0,0.261448576689276,0.5247909067489336,0.4860625706665788,0.28292292377506856,2,1,0.788814599338366,1,2,2,1,1.3510710141054005,2,0,0
12,1,0.27680495741968,0.4853938024289244,0.4798523918538611,0.30308441965645727,2,1,0.7424536606085894,1,1,1,2,0.9919599734457734,2,0,0
13,1,0.3267679798610683,0.4848488028582283,0.49469714688820376,0.2969880953486328,1,2,0.8049223766793148,1,1,2,1,0.694002556054329,2,1,0
14,1,0.30562145226184523,0.4991573423391633,0.4690259546164235,0.26867806900233737,2,1,0.8017374051378283,1,1,2,1,1.0432507020705089,2,0,0
15,0,0.31258812877585873,0.5194030659754428,0.4661708331426069,0.2678244502583751,1,2,0.6444795484094357,1,2,2,1,1.2479094574882765,2,1,0
16,1,0.3277692655230726,0.5299202857797877,0.43996298859516303,0.26451271664007736,1,2,0.8933415742576472,2,2,2,1,0.6458518977706262,2,0,0
17,1,0.2981067470826333,0.5583808392969126,0.4275576770947451,0.2529057827169128,1,2,0.8783171513241541,2,2,2,1,0.7441062657671864,2,0,0
18,1,0.26101665238646565,0.5351812471453707,0.41109361069977113,0.25799646512449464,2,1,1.1151119049354747,1,1,1,2,0.7281199326062051,1,1,0
19,1,0.2603311779341171,0.5176847404261373,0.39828577125519615,0.2653611901188848,1,2,0.9218273160186072,1,1,2,1,1.2487173776971758,1,0,0
20,1,0.2505953033453143,0.48624082872564434,0.4279872647442436,0.3029189253849942,1,2,0.9803796833220986,1,1,1,2,0.5945653880480677,1,0,0
21,0,0.25465211869309456,0.44337434497648776,0.4058890313533161,0.3093445247650077,2,1,0.8877253083337564,1,2,1,2,1.315660543328704,1,0,0
22,1,0.25511019447523253,0.4360610845834416,0.45150151762303226,0.32170923047615474,2,1,0.803625967597327,1,1,1,2,1.2978404934656282,1,0,0
23,1,0.268704192959564,0.43590519174287445,0.447323820767501,0.35607744115175183,1,2,0.9800551290281874,2,2,2,1,0.6640037343349832,1,1,0
24,1,0.2619692624692884,0.4338404207618951,0.47220338818357926,0.32440367825445193,1,2,0.7879584630754835,2,2,1,2,0.662117281324754,1,1,0
25,1,0.2580960673127577,0.4471592382662136,0.496272934193904,0.3037983741469916,1,2,0.680355002728902,2,2,2,1,0.7941626634783461,1,1,0
26,1,0.26379529508876576,0.45535480162110104,0.4849005804176161,0.2885738561340996,1,2,0.6785559413183364,2,2,1,2,0.7313145473563054,1,1,0
27,0,0.2644168051752621,0.4786443425424731,0.5417782037460479,0.296458986186755,2,1,0.8530266270099673,2,1,1,2,1.1405781164830842,1,0,0
28,1,0.25227973565789497,0.4897889211358377,0.5674727166588289,0.2812940700919657,2,1,0.8240394383174134,2,2,1,2,0.7750347532237356,1,1,0
29,1,0.2557088160869905,0.46960255191103073,0.5774895988010305,0.2602651305259578,1,2,0.718360702474456,2,2,2,1,0.9320117514580488,1,0,0
30,1,0.2777278155247414,0.4708178613371175,0.5962389120148717,0.2881578927350832,2,1,0.5951795399996627,2,2,1,2,0.6925880176495411,1,1,0
31,1,0.2843014914614276,0.43026647164093457,0.5810277046974199,0.28476422243358956,1,2,0.7243907223892165,2,2,1,2,0.7776800063402334,1,1,0
32,1,0.2851829811279746,0.43077117038617996,0.5800131781634463,0.290938968376341,1,2,0.6677567512269889,2,2,2,1,0.7956335543931345,1,0,0
33,1,0.2589089770814328,0.38907569894099137,0.6093622639052698,0.26003788888345847,2,1,0.7471649715189415,2,2,1,2,0.8014324386167573,1,1,0
