participant,condition,run,trial,onset_first_choice,onset_second_choice,onset_feedback,duration_first_choice,duration_second_choice,duration_trial,mfrpe,mbrpe,rpediff,rpe2,chosen_action1_value,chosen_action1_value_deriv,chosen_action2_value
82,story,2,57,109.68000000000028,114.77700000000004,119.17300000000068,1.0949999999993452,1.3950000000004366,10.994000000000597,0.09119526742807704,-0.05881235345102609,-0.15000762087910313,0.2059670962672291,0.37697626842304005,-0.3114685897638293,0.7940329037327709
82,story,2,58,127.57200000000012,132.3790000000008,136.61499999999978,0.8050000000002908,1.2340000000003783,10.543999999999867,0.14453925469266804,-0.010344570400605213,-0.15488382509327325,0.044407819432493056,0.6930589568841016,-0.34078132562932295,0.9555921805675069
82,story,2,59,146.3680000000004,151.4369999999999,155.46900000000096,1.0670000000009168,1.0310000000008586,10.602000000000771,0.08685000211377569,0.00010539271002574235,-0.08674460940374995,-0.990425390936277,0.7416704454892395,-0.40219275343932875,0.990425390936277
82,story,2,60,161.91899999999987,167.0540000000001,171.65899999999962,1.1329999999998108,1.6040000000011787,11.240999999999984,-0.4020597466868837,-0.5875284919194392,-0.18546874523255552,0.8304140254826478,0.6800001430054613,0.5689539716394524,0.16958597451735224
82,story,2,61,177.51400000000103,182.371000000001,186.8430000000008,0.8549999999995634,1.4719999999997526,10.829999999999927,0.31577359465771926,0.11838164901386405,-0.1973919456438552,0.009925918097142161,0.370680619667021,-0.23686820218965562,0.9900740819028578
82,story,2,62,192.88000000000105,197.5360000000001,201.3320000000004,0.6539999999986321,0.7950000000000728,9.95299999999952,-0.031083677155770095,-0.05307074049149585,-0.021987063335725754,-0.8209574404544806,0.6512584724832468,-0.49049877224878624,0.8209574404544806
82,story,2,63,209.04000000000087,214.1310000000012,218.76699999999985,1.0900000000001455,1.6349999999983993,11.227999999999156,-0.36791481820852134,-0.5490225148871143,-0.18110769667859294,-0.2135420303493033,0.7151920791711813,0.43450440847127336,0.2135420303493033
82,story,2,64,228.29000000000087,233.04399999999995,236.7530000000006,0.7520000000004075,0.7080000000005384,9.963999999999944,0.6800618571752899,0.2462568747755447,-0.4338049823997452,0.0021400912405333816,0.7855741847257275,0.6558898045456777,0.9978599087594666
82,story,2,65,244.9620000000013,249.7569999999996,253.5760000000009,0.7929999999996653,0.8170000000009168,10.114999999999783,0.3043394204917208,0.24676047695198022,-0.05757894353974058,0.0004614173190816695,0.8840754554189448,0.15477728923112635,0.9995385826809183
82,story,2,66,264.5,269.384,272.9880000000012,0.8819999999996071,0.603000000000975,9.989000000001395,0.13594684689050962,0.24686905679275217,0.11092220990224255,9.948451650854118e-05,0.9136270691044986,0.034994664376343965,0.9999005154834915
82,story,2,67,282.46399999999994,287.52400000000125,291.53600000000006,1.0580000000009022,1.010999999998603,10.57300000000032,0.06067297986399389,0.2468924672988495,0.1862194874348556,2.1449496184100525e-05,0.924469080578844,-0.0023099365763994168,0.9999785505038159
82,story,2,68,300.0079999999998,304.7720000000008,309.0410000000012,0.7620000000006257,1.2669999999998254,10.534000000001472,0.027066732976472774,0.24689751475325572,0.21983078177678295,4.6246481633094305e-06,0.9288899511574583,-0.016233722862801052,0.9999953753518367
82,story,2,69,315.9040000000004,320.5690000000013,324.8080000000009,0.6630000000004657,1.2379999999993745,10.405000000000657,0.012072206649876516,0.24689860301661393,0.2348263963667374,9.971036359912588e-07,0.9307834524806321,-0.021946482472652525,0.999999002896364
82,story,2,70,333.4130000000005,338.2390000000014,342.4269999999997,0.8240000000005239,1.186999999999898,10.514999999999418,-0.9485748967907619,-0.7070599238380972,0.24151497295266466,0.9539589764731338,0.9316127174923359,-0.024399032505196084,0.046041023526866176
82,story,2,71,349.52599999999984,354.5240000000012,358.77200000000084,0.996000000001004,1.2469999999993888,10.747000000001206,0.058098678546678606,-0.1439755967008639,-0.2020742752475425,-0.7943203611597203,0.7363875534864065,-0.06025785566640732,0.7943203611597203
82,story,2,72,366.152,370.8780000000006,374.9300000000003,0.7250000000003638,1.0499999999992724,10.279000000000453,0.4540586378033864,0.24689883765313392,-0.20715980015025248,-0.9999997850180974,0.8511470438425356,0.3111301877960228,0.9999997850180974
