participant,condition,run,trial,onset_first_choice,onset_second_choice,onset_feedback,duration_first_choice,duration_second_choice,duration_trial,mfrpe,mbrpe,rpediff,rpe2,chosen_action1_value,chosen_action1_value_deriv,chosen_action2_value
5,abstract,1,0,0.0740000000000691,4.968000000000076,8.892000000000053,0.8919999999998254,0.921999999999798,10.31899999999996,0.0,0.0,0.0,0.0,0.5,0.0,0.0
5,abstract,1,1,16.34999999999991,21.04600000000005,24.769000000000005,0.6939999999999599,0.72199999999998,9.920000000000073,0.0,0.0,0.0,1.0,0.7152331720846657,0.0,0.0
5,abstract,1,2,31.89999999999986,36.634000000000015,40.482999999999954,0.7320000000001983,0.8479999999999563,10.08400000000006,0.4260702172832838,0.14891926696355595,-0.27715095031972786,0.5036024434548136,0.8932035947534123,0.07411464033400564,0.4963975565451864
5,abstract,1,3,48.00099999999998,52.65100000000007,56.30600000000004,0.6479999999999109,0.6539999999999964,9.80600000000004,0.5728270999527862,0.22391537368390235,-0.3489117262688839,0.25361542105365875,0.9387601944872664,0.04353989470931454,0.7463845789463412
5,abstract,1,4,63.37899999999991,68.10199999999986,71.86699999999995,0.7210000000000036,0.7630000000001473,9.989000000000033,0.5897142066049255,0.26168359627786686,-0.3280306103270586,0.12772134574044391,0.9541276160033465,0.017594653740627467,0.8722786542595561
5,abstract,1,5,80.0039999999999,84.6189999999999,88.23199999999996,0.6130000000000564,0.6120000000000799,9.729000000000044,0.5502738538978211,0.2807037654611326,-0.2695700884366885,0.06432078179622458,0.9604054304354864,-0.002565254256357035,0.9356792182037754
5,abstract,1,6,97.97000000000004,102.61999999999986,107.01600000000008,0.6479999999999109,1.3949999999999818,10.547000000000024,-0.47751018144006396,-0.6773255279857482,-0.19981534654568422,0.0,0.9632480359034744,-0.01940486152833158,0.0
5,abstract,1,7,115.538,120.14599999999996,124.03099999999996,0.6059999999999945,0.8840000000000146,9.993999999999916,0.5660979941439974,0.2902823691367492,-0.2758156250072482,0.032392102877502604,0.9632455506763615,-0.0031032681004975146,0.9676078971224974
5,abstract,1,8,132.02499999999986,136.67899999999986,140.32500000000005,0.6520000000000437,0.6450000000002092,9.801000000000158,0.4897994346227075,0.2951061773526751,-0.1946932572700324,-0.98368725784225,0.9646033041831105,-0.02077316309424307,0.98368725784225
5,abstract,1,9,147.92100000000005,152.59400000000005,156.6759999999999,0.6709999999998217,1.0799999999999272,10.255999999999856,0.0,-0.1486161919934167,-0.1486161919934167,0.0,0.10699199341948835,0.17628215966976432,0.0
5,abstract,1,10,167.45900000000006,172.2139999999999,176.05299999999988,0.7529999999999291,0.8379999999999654,10.094999999999803,-0.007276638834490146,0.1486161919934167,0.15589283082790684,0.5046126933552777,0.569537822116406,-0.4523340691892222,0.4953873066447223
5,abstract,1,11,183.95800000000008,188.60099999999989,192.44799999999992,0.6419999999998254,0.8460000000000036,9.990999999999984,0.20888194721617548,0.22376274438839028,0.0148807971722148,0.2541241853720324,0.938708596981678,-0.08319200832830156,0.7458758146279676
5,abstract,1,12,200.60099999999989,205.15100000000007,208.85400000000004,0.5480000000000018,0.7019999999999982,9.754000000000133,0.2839111492432643,0.26160673179170413,-0.0223044174515602,0.12797756069431954,0.954112791937935,-0.06348042370770345,0.8720224393056805
5,abstract,1,13,215.96499999999992,220.511,224.09099999999992,0.5440000000000964,0.5789999999999509,9.626999999999953,0.29325142171677865,0.28066505631808625,-0.0125863653986924,0.06444981227304603,0.9604025636591285,-0.06177094409478541,0.935550187726954
5,abstract,1,14,231.53199999999995,236.24399999999991,239.98700000000008,0.7100000000000364,0.7419999999999618,9.956000000000133,0.274037819583968,0.2902628751177271,0.01622505553375908,0.03245708294090999,0.9632495243806533,-0.06573803362133829,0.96754291705909
