participant,condition,run,trial,onset_first_choice,onset_second_choice,onset_feedback,duration_first_choice,duration_second_choice,duration_trial
1,story,1,0,0.06399999999985084,5.644999999999982,10.152999999999793,1.5779999999999743,1.505999999999858,11.590000000000146
1,story,1,1,15.534000000000106,20.824999999999818,25.327999999999967,1.2880000000000111,1.5010000000002035,11.295000000000071
1,story,1,2,31.634999999999767,36.59900000000016,41.03099999999995,0.9620000000004438,1.4289999999996326,10.897000000000391
1,story,1,3,49.1779999999999,53.90700000000015,57.59900000000015,0.7270000000003165,0.6909999999998035,9.922000000000024
1,story,1,4,65.18899999999985,70.01299999999992,74.2460000000001,0.8220000000001164,1.231999999999971,10.557999999999991
1,story,1,5,83.98300000000017,88.9989999999998,,1.013999999999669,,9.018999999999776
1,story,1,6,99.23199999999996,104.16699999999993,107.90099999999985,0.9329999999999928,0.7339999999999236,10.170000000000073
1,story,1,7,114.9670000000001,119.8710000000001,123.56899999999996,0.9020000000000435,0.6969999999996617,10.103000000000064
1,story,1,8,130.67399999999998,135.61099999999988,139.3209999999999,0.9349999999999454,0.7090000000002874,10.148000000000136
1,story,1,9,146.5709999999999,151.70299999999997,155.34000000000015,1.1300000000001091,0.6359999999999673,10.269999999999982
1,story,1,10,162.16600000000014,166.94000000000003,170.71000000000004,0.7709999999997308,0.7680000000000291,10.044999999999618
1,story,1,11,178.84000000000015,183.82900000000015,187.848,0.9869999999996252,1.018000000000029,10.509000000000016
1,story,1,12,195.36499999999972,200.2130000000002,204.0300000000002,0.8460000000000036,0.8170000000000073,10.166000000000167
1,story,1,13,211.261,216.6840000000002,221.12300000000005,1.4220000000000257,1.4379999999996471,11.362999999999829
1,story,1,14,226.81100000000012,231.64300000000003,235.54,0.8299999999999272,0.8949999999999818,10.230000000000018
1,story,1,15,244.77700000000004,249.4630000000002,253.049,0.6839999999997417,0.5849999999995816,9.773000000000136
1,story,1,16,261.21799999999985,265.91600000000017,269.5300000000002,0.6950000000001637,0.612999999999829,9.813000000000102
1,story,1,17,280.3069999999998,285.5749999999998,289.317,1.2660000000000764,0.7409999999999854,10.510999999999967
1,story,1,18,296.9070000000001,301.8559999999997,305.6999999999998,0.9469999999996616,0.8420000000000982,10.293999999999867
1,story,1,19,313.069,318.2680000000001,321.9119999999998,1.1970000000001164,0.6419999999998254,10.344000000000053
1,story,1,20,328.6709999999998,333.78099999999995,337.69900000000007,1.1090000000003783,0.9160000000001672,10.528999999999996
1,story,1,21,345.31500000000005,350.02500000000015,354.41199999999986,0.7080000000000837,1.3859999999999673,10.598999999999704
1,story,1,22,361.4279999999998,366.13700000000017,370.2640000000002,0.7069999999998801,1.125999999999749,10.338000000000193
1,story,1,23,378.84099999999984,383.87399999999985,387.65900000000016,1.030999999999949,0.7830000000003565,10.31899999999996
1,story,1,24,398.37899999999985,403.1019999999999,407.46999999999986,0.7210000000000036,1.3670000000001892,10.592000000000098
1,story,1,25,415.00399999999985,419.7939999999999,424.0459999999998,0.7880000000000109,1.2510000000002035,10.54300000000012
1,story,1,26,432.587,437.214,440.80699999999985,0.625,0.5909999999998945,9.721000000000004
1,story,1,27,449.32000000000016,453.88299999999987,457.89600000000013,0.5609999999996944,1.012000000000171,10.07699999999977
1,story,1,28,464.96099999999984,469.62600000000015,473.2649999999999,0.6630000000000109,0.6379999999999201,9.805000000000293
1,story,1,29,481.857,486.8319999999998,490.5149999999999,0.9729999999999565,0.6820000000002437,10.159000000000106
1,story,1,30,496.30699999999985,500.94900000000007,504.60899999999987,0.6390000000001237,0.6590000000001055,9.803000000000337
1,story,1,31,512.6750000000002,517.4769999999999,522.3220000000001,0.7999999999997272,1.843000000000302,11.147999999999683
1,story,1,32,528.2420000000002,533.0909999999999,536.931,0.8469999999997526,0.8389999999999418,10.1899999999996
1,story,1,33,544.8670000000002,549.7669999999998,553.998,0.8979999999996835,1.2300000000000182,10.631999999999607
1,story,1,34,561.366,566.1199999999999,569.9250000000002,0.7510000000002037,0.8040000000000873,10.059999999999944
1,story,1,35,578.877,583.9870000000002,588.1309999999999,1.106999999999971,1.143000000000029,10.75500000000011
1,story,1,36,594.8780000000003,599.607,603.1759999999998,0.725999999999658,0.5680000000002111,9.798999999999976
1,story,1,37,610.2649999999999,614.875,618.48,0.6080000000001746,0.6050000000000182,9.715999999999894
1,story,1,38,626.752,631.7240000000003,635.44,0.9700000000002548,0.7159999999998945,10.188999999999849
1,story,1,39,642.3849999999998,647.1219999999997,650.6680000000001,0.7360000000003311,0.5440000000003238,9.784000000000106
1,story,1,40,658.8519999999999,663.5929999999997,667.8049999999997,0.7390000000000327,1.2100000000000364,10.454000000000178
1,story,1,41,676.7449999999999,681.375,685.4250000000002,0.6280000000001564,1.0489999999999782,10.18100000000004
1,story,1,42,692.9060000000001,697.6799999999997,701.2589999999999,0.7719999999999345,0.5779999999999745,9.853999999999814
1,story,1,43,708.2710000000003,713.52,717.2849999999999,1.2469999999998436,0.7640000000001237,10.514999999999874
1,story,1,44,724.0659999999997,728.6770000000001,732.4119999999997,0.6090000000003783,0.7339999999999236,9.847000000000207
1,story,1,45,739.3989999999999,743.9910000000001,747.7559999999999,0.5900000000001455,0.7640000000001237,9.858000000000175
1,story,1,46,758.6489999999999,763.2489999999997,767.1179999999998,0.5970000000002074,0.8680000000003929,9.971000000000004
1,story,1,47,774.8069999999997,779.4920000000003,783.7150000000001,0.6829999999999927,1.2219999999997526,10.409000000000106
1,story,1,48,791.3380000000003,796.0880000000003,799.721,0.7479999999995925,0.6319999999996071,9.884999999999764
1,story,1,49,806.7179999999997,811.3220000000001,814.9989999999997,0.6020000000003165,0.6749999999997272,9.782000000000153
1,story,2,50,0.016999999999825374,5.302999999999884,9.181999999999787,1.2849999999998545,0.876999999999498,10.666000000000167
1,story,2,51,15.358999999999465,20.08999999999924,24.247999999999596,0.7290000000002692,1.1570000000001528,10.390000000000327
1,story,2,52,31.885999999999513,36.539999999999964,40.231999999999964,0.6509999999998399,0.6909999999998035,9.846999999999753
1,story,2,53,51.42299999999978,56.39799999999923,60.067999999999294,0.9719999999997526,0.6690000000007785,10.146999999999936
1,story,2,54,67.90999999999985,72.68499999999949,76.73199999999997,0.7739999999994325,1.0460000000002765,10.32299999999941
1,story,2,55,84.3769999999995,89.1309999999994,92.69699999999919,0.7520000000004075,0.5650000000005093,9.820999999999911
1,story,2,56,101.78999999999996,106.60199999999986,110.3889999999992,0.808999999999287,0.7849999999998545,10.099999999999453
1,story,2,57,119.3019999999997,123.9380000000001,127.60199999999986,0.6340000000000146,0.6629999999995562,9.801000000000386
1,story,2,58,136.88299999999978,141.66699999999946,145.80599999999959,0.782999999999447,1.13799999999992,10.423999999999976
1,story,2,59,155.6790000000001,160.32600000000005,163.83999999999926,0.6449999999995271,0.51299999999992,9.66199999999935
1,story,2,60,171.28099999999995,175.9849999999997,179.99499999999992,0.7019999999993161,1.0079999999998108,10.215000000000147
1,story,2,61,190.53199999999924,195.30699999999982,198.92499999999927,0.7730000000001382,0.6159999999999854,9.894000000000233
1,story,2,62,204.98099999999974,209.76699999999985,213.96900000000005,0.7839999999996508,1.2010000000000218,10.488999999999578
1,story,2,63,221.625,226.3729999999996,230.22800000000007,0.7460000000000946,0.8530000000000655,10.10399999999936
1,story,2,64,237.33199999999943,242.22399999999925,246.23299999999927,0.8900000000003274,1.0070000000005166,10.402000000000044
1,story,2,65,252.89899999999943,257.58299999999963,261.7869999999993,0.681999999999789,1.2020000000002256,10.389000000000122
1,story,2,66,270.4409999999998,275.16899999999987,278.98399999999947,0.7269999999998618,0.8139999999993961,10.043999999999867
1,story,2,67,287.0679999999993,291.8689999999997,296.0779999999995,0.7989999999999782,1.2079999999996291,10.512000000000628
1,story,2,68,303.22800000000007,307.95699999999937,312.11699999999934,0.7269999999998618,1.1590000000005602,10.389999999999418
1,story,2,69,321.1929999999993,325.8309999999992,330.2100000000001,0.636000000000422,1.3780000000006112,10.518000000000027
1,story,2,70,337.6909999999998,342.3199999999997,346.20099999999996,0.626999999999498,0.8800000000001091,10.01099999999951
1,story,2,71,354.0589999999993,358.68699999999984,362.33199999999937,0.6260000000002037,0.6430000000000291,9.774000000000342
1,story,2,72,370.2209999999996,374.8009999999995,379.22199999999975,0.5780000000004293,1.4200000000000728,10.502000000000407
1,story,2,73,386.116,390.8179999999993,395.56599999999986,0.6999999999998181,1.7480000000005018,10.951000000000024
1,story,2,74,402.78899999999976,407.93800000000016,411.7789999999995,1.1469999999999343,0.839999999999236,10.490999999999984
1,story,2,75,418.0379999999996,422.7839999999997,426.79799999999983,0.7439999999996871,1.01299999999992,10.261000000000422
1,story,2,76,433.5879999999997,438.54199999999946,442.36999999999983,0.9520000000002256,0.8270000000002256,10.283000000000355
1,story,2,77,449.1399999999994,453.79500000000013,457.84899999999925,0.6530000000002474,1.05199999999968,10.210000000000036
1,story,2,78,464.9349999999995,469.643,473.83099999999916,0.7070000000003347,1.1859999999996944,10.396999999999936
1,story,2,79,481.5369999999994,486.23700000000014,490.32999999999987,0.6980000000003201,1.0919999999996437,10.293999999999867
1,story,2,80,499.1049999999996,504.07999999999987,507.7159999999994,0.9729999999999565,0.6349999999993088,10.11200000000008
1,story,2,81,515.2629999999998,520.3639999999996,523.9389999999994,1.09900000000016,0.5749999999998181,10.17699999999968
1,story,2,82,531.2649999999994,536.1369999999997,540.0389999999999,0.8699999999998909,0.8999999999996362,10.275000000000547
1,story,2,83,546.5989999999994,551.1929999999993,555.4919999999993,0.592000000000553,1.2980000000006842,10.394000000000233
1,story,2,84,561.9639999999998,567.0459999999994,571.0549999999994,1.0799999999999272,1.0080000000007203,10.592999999999847
1,story,2,85,577.3499999999995,582.2259999999998,586.2539999999998,0.8739999999997963,1.0270000000000437,10.405000000000657
1,story,2,86,595.2429999999995,599.9589999999997,604.1889999999994,0.7139999999999418,1.2299999999995634,10.44800000000032
1,story,2,87,610.8829999999998,615.7230000000001,619.4879999999994,0.8379999999997381,0.7640000000001237,10.105999999999767
1,story,2,88,626.4789999999994,631.1300000000001,635.3219999999992,0.6490000000003421,1.1909999999998035,10.344000000000053
1,story,2,89,643.1049999999996,647.7339999999995,651.9009999999997,0.6270000000004075,1.1660000000001671,10.29700000000048
1,story,2,90,659.2049999999998,663.7939999999999,667.3489999999993,0.5869999999995343,0.5540000000000873,9.644999999999527
1,story,2,91,675.2159999999994,679.8439999999999,683.7339999999995,0.6260000000002037,0.88799999999992,10.019000000000233
1,story,2,92,691.6589999999997,696.4399999999997,700.1399999999994,0.7780000000002474,0.6989999999996144,9.981999999999973
1,story,2,93,707.7709999999997,712.357,716.9369999999999,0.5829999999996289,1.5789999999997235,10.667000000000373
1,story,2,94,724.3040000000002,729.201,733.1880000000001,0.8939999999993233,0.9859999999998764,10.384999999999307
1,story,2,95,741.0369999999994,745.6949999999997,749.8839999999999,0.6559999999999491,1.1890000000003056,10.347999999999956
1,story,2,96,756.6700000000002,761.5369999999994,765.0879999999997,0.8649999999997817,0.5489999999999782,9.918999999999867
1,story,2,97,772.4060000000001,776.9039999999995,780.5149999999994,0.4949999999998909,0.6099999999996726,9.609999999999673
1,story,2,98,788.3009999999996,792.9939999999997,796.8359999999992,0.6909999999998035,0.8410000000003492,10.036000000000056
1,story,2,99,807.3909999999997,812.0809999999992,815.9179999999997,0.6880000000001019,0.8370000000004438,10.029000000000453
1,story,3,100,0.018000000000029104,4.936999999999899,8.815999999999805,0.9170000000003712,0.8760000000002037,10.298999999999976
1,story,3,101,15.99200000000019,20.712999999999735,24.247999999999596,0.7179999999998472,0.5340000000005602,9.756999999999607
1,story,3,102,35.07999999999993,39.74200000000019,43.29299999999967,0.6599999999998545,0.5489999999999782,9.713999999999944
1,story,3,103,51.7529999999997,56.416000000000174,60.534999999999854,0.6600000000007641,1.1179999999994834,10.283000000000355
1,story,3,104,67.91399999999976,72.6279999999997,76.5560000000005,0.7120000000004438,0.9270000000005894,10.143000000000027
1,story,3,105,84.64800000000014,89.42399999999998,93.009,0.774000000000342,0.5839999999998327,9.86200000000008
1,story,3,106,100.5429999999997,105.06599999999979,108.82200000000013,0.5210000000006403,0.7539999999999054,9.780000000000657
1,story,3,107,120.07999999999993,124.60900000000038,128.84900000000016,0.5270000000000437,1.2389999999995778,10.270000000000435
1,story,3,108,136.54700000000048,141.35599999999974,145.3060000000005,0.8059999999995853,0.949000000000524,10.259999999999307
1,story,3,109,153.04600000000028,157.57499999999982,161.1909999999998,0.5270000000000437,0.6149999999997817,9.64599999999973
1,story,3,110,168.41100000000006,173.25399999999993,177.2439999999997,0.8410000000003492,0.9880000000002838,10.333999999999833
1,story,3,111,184.94300000000018,189.6790000000001,193.1890000000003,0.7339999999994689,0.5090000000000146,9.746999999999387
1,story,3,112,200.83899999999997,205.5820000000004,209.1949999999997,0.7420000000001892,0.6120000000000799,9.856999999999973
1,story,3,113,217.46500000000012,222.09400000000005,225.96000000000004,0.6279999999997017,0.863999999999578,9.996000000000095
1,story,3,114,234.36099999999988,239.02199999999996,242.64300000000003,0.6590000000005602,0.6199999999998909,9.783000000000355
1,story,3,115,251.8720000000003,256.6440000000003,261.0039999999999,0.7699999999995271,1.3580000000001746,10.63299999999981
1,story,3,116,267.25,272.4220000000005,276.5190000000003,1.1700000000000728,1.0959999999995491,10.770000000000437
1,story,3,117,283.2520000000004,288.09400000000005,291.77199999999993,0.839999999999236,0.6760000000003856,10.02099999999973
1,story,3,118,298.8199999999997,303.5159999999996,307.59500000000025,0.6940000000004147,1.0780000000004293,10.27600000000075
1,story,3,119,314.45099999999996,319.4300000000003,323.0259999999998,0.975999999999658,0.5949999999993452,10.076000000000024
1,story,3,120,330.6140000000005,335.1430000000001,338.759,0.5259999999998399,0.6149999999997817,9.64599999999973
1,story,3,121,346.77199999999993,351.33899999999994,354.94199999999995,0.5659999999998035,0.6019999999998618,9.67200000000048
1,story,3,122,364.7359999999998,369.3540000000002,373.81300000000016,0.6159999999999854,1.4579999999996291,10.57800000000043
1,story,3,123,381.33700000000056,386.0249999999997,389.57999999999987,0.6849999999994907,0.5530000000007931,9.743999999999687
1,story,3,124,396.5860000000001,401.7210000000005,405.223,1.1329999999998108,0.5009999999992942,10.13799999999992
1,story,3,125,413.99899999999985,418.50399999999985,422.7110000000001,0.5030000000006112,1.2049999999999272,10.212000000000444
1,story,3,126,429.6009999999997,434.27800000000025,438.43100000000055,0.6739999999999782,1.1509999999998402,10.331000000000133
1,story,3,127,447.18300000000005,452.009,455.93300000000005,0.8239999999996144,0.9229999999997744,10.251000000000202
1,story,3,128,463.7110000000001,468.406,471.95799999999963,0.693000000000211,0.5510000000003856,9.747999999999593
1,story,3,129,480.1970000000002,485.35599999999977,489.07599999999996,1.1570000000001528,0.7179999999998472,10.38000000000011
1,story,3,130,496.29799999999983,501.27300000000014,505.7520000000004,0.9729999999999565,1.4780000000000657,10.954999999999929
1,story,3,131,511.8509999999997,516.5810000000001,520.424,0.7280000000000655,0.8410000000003492,10.074000000000524
1,story,3,132,527.4459999999998,532.0380000000006,536.1890000000003,0.5900000000001455,1.1489999999994325,10.243999999999687
1,story,3,133,541.8959999999997,546.4780000000002,550.2259999999997,0.5799999999999272,0.7449999999998909,9.831000000000133
1,story,3,134,557.6899999999996,562.4110000000002,566.6030000000002,0.7190000000000509,1.1909999999998035,10.41400000000067
1,story,3,135,573.3310000000001,578.4920000000002,582.5739999999996,1.1589999999996508,1.081000000000131,10.743999999999687
1,story,3,136,589.4449999999998,594.0640000000002,598.018,0.6170000000001892,0.9529999999995198,10.074000000000524
1,story,3,137,606.9880000000003,612.0230000000001,616.0600000000004,1.032999999999447,1.0360000000000582,10.57299999999941
1,story,3,138,622.3739999999998,627.1210000000002,630.8239999999996,0.7449999999998909,0.7020000000002256,9.951000000000024
1,story,3,139,641.1700000000002,645.9310000000005,649.5510000000004,0.7600000000002183,0.6189999999996871,9.881999999999607
1,story,3,140,658.7390000000005,663.7169999999996,667.4549999999998,0.9749999999994544,0.7360000000007858,10.216999999999645
1,story,3,141,674.0739999999996,679.0510000000004,683.1459999999997,0.9750000000003638,1.0949999999993452,10.574000000000524
1,story,3,142,689.7810000000001,694.7110000000004,698.3530000000002,0.92699999999968,0.6409999999996217,10.07300000000032
1,story,3,143,706.4250000000003,711.0980000000001,714.665,0.6710000000002765,0.5659999999998035,9.740999999999984
1,story,3,144,722.8660000000001,727.7129999999997,731.6970000000001,0.8450000000002547,0.9830000000001746,10.332000000000336
1,story,3,145,740.7579999999997,745.4579999999997,749.1599999999999,0.6980000000003201,0.7000000000007276,9.903000000000247
1,story,3,146,756.4930000000003,761.2250000000003,765.3959999999997,0.7299999999995634,1.1700000000000728,10.403999999999543
1,story,3,147,772.8609999999999,777.4409999999997,781.0410000000003,0.5780000000004293,0.5990000000001601,9.681000000000497
1,story,3,148,788.4110000000002,793.1199999999999,796.7820000000003,0.7070000000003347,0.6610000000000582,9.872000000000297
1,story,3,149,807.6610000000002,812.3959999999997,816.576,0.7330000000001746,1.179000000000087,10.416000000000167
2,story,1,0,0.027000000000043656,4.695999999999913,8.546000000000276,0.6660000000001673,0.8479999999999563,10.019999999999982
2,story,1,1,15.690000000000055,20.383000000000266,24.175999999999927,0.6900000000000546,0.7919999999999163,9.98700000000008
2,story,1,2,31.28499999999985,36.06899999999996,40.034999999999854,0.7820000000001528,0.9650000000001456,10.251000000000202
2,story,1,3,50.534000000000106,55.13200000000007,59.08300000000008,0.5960000000000036,0.949999999999818,10.050000000000182
2,story,1,4,66.13799999999992,71.04300000000012,74.96199999999997,0.9030000000002474,0.9180000000001199,10.325000000000273
2,story,1,5,82.6640000000002,87.48700000000008,91.11400000000003,0.8209999999999127,0.6260000000002037,9.951000000000024
2,story,1,6,99.28999999999996,104.07999999999993,107.79100000000015,0.7880000000000109,0.7100000000000364,10.001000000000202
2,story,1,7,115.82299999999987,120.42399999999998,124.24800000000003,0.5990000000001601,0.8220000000001164,9.926000000000386
